"","x"
"850",38
"851",36
"852",33
"853",32
"854",40
"855",38
"856",42
"857",37
"858",48
"859",41
"860",48
"861",43
"862",37
"863",38
"864",28
"865",29
"866",31
"867",38
"868",28
"869",32
"870",30
"871",34
"872",38
"873",28
"874",34
"875",34
"876",31
"877",32
"878",30
"879",32
"880",30
"881",38
"882",33
"883",32
"884",39
"885",45
"886",36
"887",28
"888",30
"889",38
"890",31
"891",28
"892",25
"893",23
"894",34
"895",32
"896",40
"897",24
"898",32
"899",39
"900",40
"901",36
"902",29
"903",28
"904",27
"905",38
"906",32
"907",32
"908",34
"909",35
"910",37
"911",40
"912",28
"913",34
"914",28
"915",23
"916",33
"917",39
"918",35
"919",28
"920",45
"921",29
"922",29
"923",33
"924",40
"925",30
"926",34
"927",39
"928",33
"929",26
"930",39
"931",27
"932",39
"933",34
"934",36
"935",39
"936",36
"937",38
"938",36
"939",36
"940",46
"941",27
"942",45
"943",25
"944",26
"945",36
"946",41
"947",44
"948",32
"949",36
"950",37
"951",34
"952",41
"953",35
"954",42
"955",37
"956",31
"957",32
"958",39
"959",32
"960",30
"961",42
"962",26
"963",37
"964",30
"965",37
"966",31
"967",37
"968",41
"969",32
"970",37
"971",38
"972",31
"973",35
"974",37
"975",44
"976",50
"977",48
"978",31
"979",31
"980",36
"981",32
"982",41
"983",27
"984",34
"985",36
"986",29
"987",37
"988",47
"989",33
"990",37
"991",34
"992",26
"993",36
"994",37
"995",25
"996",36
"997",24
"998",29
"999",35
"1000",41
